"","FIPS","SVI","Est_Hest","Party","NHW","mean_mobility","sum_deaths"
"199",6083,0.71,0.0691,0.664096392929959,0.4451,0.717433995695031,0.00103919605643014
"200",6085,0.36,0.0413,0.742232268649582,0.3154,0.707672935957484,0.00108203326811394
"201",6087,0.54,0.0602,0.809205074265315,0.5727,0.699723217606976,0.000783271659840491
"202",6089,0.7,0.0805,0.330436506625252,0.798,0.73337588164773,0.00144380275433141
"203",6091,0.05,0.0726,0.389957264957265,0.8757,0.811066133558497,0
"204",6093,0.72,0.0923,0.419219507931652,0.761,0.748069100244736,0.000574197845609683
"205",6095,0.59,0.0628,0.655099654134216,0.3804,0.739908229830529,0.000596457444883534
"206",6097,0.4,0.0611,0.763813067545833,0.6323,0.71445061159666,0.000655424650440186
"207",6099,0.87,0.078,0.504038364462393,0.4186,0.738115108693976,0.0018051065993535
"208",6101,0.88,0.0821,0.416055771165732,0.4621,0.769729207277476,0.00119623392560662
"209",6103,0.96,0.0821,0.317660059888778,0.6834,0.761449692410146,0.000967979841435683
"210",6105,0.74,0.0821,0.472098029475079,0.821,0.722010808121919,0.000244200244200244
"211",6107,0.94,0.0796,0.460072102669748,0.2852,0.748093094679206,0.0019734231383863
"212",6109,0.47,0.0779,0.40374827249132,0.8019,0.725157912878185,0.00121149821946474
"213",6111,0.48,0.0612,0.607811989990208,0.4542,0.721340620693807,0.00121866747989967
"214",6113,0.68,0.0606,0.712382758984087,0.4668,0.735164290373684,0.000988662131519274
"215",6115,0.94,0.0821,0.388500657302982,0.5519,0.759994664590082,0.000661005745665328
"216",8001,0.59,0.0777,0.583844878817014,0.5002,0.767856428509648,0.00138765144824041
"217",8003,0.95,0.0796,0.496434231378764,0.4763,0.736517519182461,0.00227930758331793
"218",8005,0.27,0.0681,0.626542105417534,0.6028,0.735106685496485,0.00113769627926103
"219",8007,0.26,0.0736,0.418729696426571,0.7633,0.761149523605864,0.00014256183619645
"220",8009,0.61,0.0796,0.14514652014652,0.8484,0.762434453442552,0.00111700642278693
"221",8011,0.9,0.0945,0.32751677852349,0.6337,0.650000996154842,0.00394477317554241
"222",8013,0.17,0.0576,0.789171089835805,0.7757,0.711315887565372,0.000720425756293762
"223",8014,0.05,0.0581,0.640857797760733,0.7677,0.754037805614174,0.00106435819201022
"224",8015,0.24,0.0847,0.535047078164699,0.8493,0.743226812733346,0.00122813912359992
"225",8017,0.26,0.0945,0.116548042704626,0.7779,0.764708113356393,0.00327689787001638
"226",8019,0.02,0.0494,0.566844919786096,0.887,0.779954180985109,0.000309278350515464
"227",8021,0.93,0.0796,0.461484098939929,0.4456,0.789227435845352,0.00280316879951249
"228",8023,0.94,0.0796,0.638888888888889,0.3338,0.789140439642112,0.00128633907898122
"229",8025,0.89,0.0945,0.255854800936768,0.6152,0.763277053658179,0.00280481768685035
"230",8027,0.24,0.0847,0.310094813162298,0.8515,0.725179229150224,0.000591949486977111
"231",8029,0.69,0.0768,0.310364824968368,0.8133,0.73372908521355,0.00202169308773506
